,0,1,2,3
49,ENSG00000004142.12,POLDIP2,protein_coding,9773
50,ENSG00000004399.13,PLXND1,protein_coding,15353
51,ENSG00000004455.17,AK2,protein_coding,15343
52,ENSG00000004468.13,CD38,protein_coding,739
53,ENSG00000004478.8,FKBP4,protein_coding,15018
54,ENSG00000004487.17,KDM1A,protein_coding,12517
55,ENSG00000004534.15,RBM6,protein_coding,5347
56,ENSG00000004660.15,CAMKK1,protein_coding,490
57,ENSG00000004700.16,RECQL,protein_coding,1887
58,ENSG00000004766.17,VPS50,protein_coding,1544
59,ENSG00000004776.13,HSPB6,protein_coding,70
60,ENSG00000004777.18,ARHGAP33,protein_coding,438
61,ENSG00000004779.10,NDUFAB1,protein_coding,4245
62,ENSG00000004799.8,PDK4,protein_coding,2706
63,ENSG00000004809.14,SLC22A16,protein_coding,4
64,ENSG00000004838.14,ZMYND10,protein_coding,1213
65,ENSG00000004846.16,ABCB5,protein_coding,2
66,ENSG00000004848.8,ARX,protein_coding,399
67,ENSG00000004864.14,SLC25A13,protein_coding,1903
68,ENSG00000004866.22,ST7,protein_coding,1392
69,ENSG00000004897.12,CDC27,protein_coding,4743
70,ENSG00000004939.15,SLC4A1,protein_coding,10
71,ENSG00000004948.16,CALCR,protein_coding,27
72,ENSG00000004961.15,HCCS,protein_coding,1593
73,ENSG00000004975.12,DVL2,protein_coding,2210
74,ENSG00000005001.10,PRSS22,protein_coding,2885
75,ENSG00000005007.13,UPF1,protein_coding,17677
76,ENSG00000005020.13,SKAP2,protein_coding,3656
77,ENSG00000005022.6,SLC25A5,protein_coding,19159
78,ENSG00000005059.16,MCUB,protein_coding,990
79,ENSG00000005073.6,HOXA11,protein_coding,32
80,ENSG00000005075.15,POLR2J,protein_coding,2109
81,ENSG00000005100.13,DHX33,protein_coding,946
82,ENSG00000005102.14,MEOX1,protein_coding,52
83,ENSG00000005108.16,THSD7A,protein_coding,163
84,ENSG00000005156.12,LIG3,protein_coding,3446
85,ENSG00000005175.10,RPAP3,protein_coding,2760
86,ENSG00000005187.12,ACSM3,protein_coding,944
87,ENSG00000005189.20,REXO5,protein_coding,306
88,ENSG00000005194.15,CIAPIN1,protein_coding,3436
89,ENSG00000005206.17,SPPL2B,protein_coding,2719
90,ENSG00000005238.20,FAM214B,protein_coding,3461
91,ENSG00000005243.10,COPZ2,protein_coding,416
92,ENSG00000005249.13,PRKAR2B,protein_coding,285
93,ENSG00000005302.19,MSL3,protein_coding,1913
94,ENSG00000005339.15,CREBBP,protein_coding,12983
95,ENSG00000005379.17,TSPOAP1,protein_coding,438
96,ENSG00000005381.8,MPO,protein_coding,15
97,ENSG00000005421.9,PON1,protein_coding,956
98,ENSG00000005436.14,GCFC2,protein_coding,728
99,ENSG00000005448.17,WDR54,protein_coding,908
100,ENSG00000005469.12,CROT,protein_coding,900
101,ENSG00000005471.19,ABCB4,protein_coding,82
102,ENSG00000005483.21,KMT2E,protein_coding,4645
103,ENSG00000005486.17,RHBDD2,protein_coding,9069
104,ENSG00000005513.10,SOX8,protein_coding,95
105,ENSG00000005700.15,IBTK,protein_coding,4899
106,ENSG00000005801.18,ZNF195,protein_coding,1760
107,ENSG00000005810.18,MYCBP2,protein_coding,2785
108,ENSG00000005812.11,FBXL3,protein_coding,1912
109,ENSG00000005844.19,ITGAL,protein_coding,1310
110,ENSG00000005882.12,PDK2,protein_coding,1541
111,ENSG00000005884.18,ITGA3,protein_coding,43960
112,ENSG00000005889.16,ZFX,protein_coding,1835
113,ENSG00000005893.16,LAMP2,protein_coding,12986
114,ENSG00000005961.19,ITGA2B,protein_coding,42
115,ENSG00000005981.13,ASB4,protein_coding,44
116,ENSG00000006007.12,GDE1,protein_coding,8707
117,ENSG00000006015.18,REX1BD,protein_coding,1373
118,ENSG00000006016.11,CRLF1,protein_coding,43997
119,ENSG00000006025.12,OSBPL7,protein_coding,1587
120,ENSG00000006042.12,TMEM98,protein_coding,8533
121,ENSG00000006047.13,YBX2,protein_coding,20
122,ENSG00000006059.4,KRT33A,protein_coding,0
123,ENSG00000006062.17,MAP3K14,protein_coding,744
124,ENSG00000006071.15,ABCC8,protein_coding,10
125,ENSG00000006116.4,CACNG3,protein_coding,0
126,ENSG00000006118.15,TMEM132A,protein_coding,6123
127,ENSG00000006125.18,AP2B1,protein_coding,20178
128,ENSG00000006128.12,TAC1,protein_coding,8
129,ENSG00000006194.10,ZNF263,protein_coding,3065
130,ENSG00000006210.7,CX3CL1,protein_coding,1478
131,ENSG00000006282.21,SPATA20,protein_coding,7835
132,ENSG00000006283.18,CACNA1G,protein_coding,25
133,ENSG00000006327.14,TNFRSF12A,protein_coding,4746
134,ENSG00000006377.11,DLX6,protein_coding,9
135,ENSG00000006432.15,MAP3K9,protein_coding,2953
136,ENSG00000006451.8,RALA,protein_coding,5011
137,ENSG00000006453.14,BAIAP2L1,protein_coding,5482
138,ENSG00000006459.11,KDM7A,protein_coding,1756
139,ENSG00000006468.14,ETV1,protein_coding,1323
140,ENSG00000006530.18,AGK,protein_coding,1174
141,ENSG00000006534.16,ALDH3B1,protein_coding,10764
142,ENSG00000006555.11,TTC22,protein_coding,1901
143,ENSG00000006576.16,PHTF2,protein_coding,1345
144,ENSG00000006606.9,CCL26,protein_coding,136
145,ENSG00000006607.14,FARP2,protein_coding,5425
146,ENSG00000006611.17,USH1C,protein_coding,2977
147,ENSG00000006625.18,GGCT,protein_coding,1332
148,ENSG00000006634.8,DBF4,protein_coding,680
149,ENSG00000006638.13,TBXA2R,protein_coding,169
150,ENSG00000006652.15,IFRD1,protein_coding,478
151,ENSG00000006659.13,LGALS14,protein_coding,0
152,ENSG00000006695.12,COX10,protein_coding,1170
153,ENSG00000006704.11,GTF2IRD1,protein_coding,2866
154,ENSG00000006712.15,PAF1,protein_coding,6172
155,ENSG00000006715.16,VPS41,protein_coding,4686
156,ENSG00000006740.17,ARHGAP44,protein_coding,1581
157,ENSG00000006744.19,ELAC2,protein_coding,6800
158,ENSG00000006747.15,SCIN,protein_coding,1378
159,ENSG00000006756.16,ARSD,protein_coding,2919
160,ENSG00000006757.12,PNPLA4,protein_coding,1048
161,ENSG00000006788.14,MYH13,protein_coding,0
162,ENSG00000006831.10,ADIPOR2,protein_coding,10172
163,ENSG00000006837.12,CDKL3,protein_coding,16
164,ENSG00000007001.13,UPP2,protein_coding,9
165,ENSG00000007038.11,PRSS21,protein_coding,4
166,ENSG00000007047.15,MARK4,protein_coding,4048
167,ENSG00000007062.12,PROM1,protein_coding,508
168,ENSG00000007080.11,CCDC124,protein_coding,3842
169,ENSG00000007129.18,CEACAM21,protein_coding,55
170,ENSG00000007168.14,PAFAH1B1,protein_coding,7139
171,ENSG00000007171.18,NOS2,protein_coding,100
172,ENSG00000007174.18,DNAH9,protein_coding,612
173,ENSG00000007202.15,KIAA0100,protein_coding,7919
174,ENSG00000007216.15,SLC13A2,protein_coding,23
175,ENSG00000007237.19,GAS7,protein_coding,907
176,ENSG00000007255.10,TRAPPC6A,protein_coding,922
177,ENSG00000007264.15,MATK,protein_coding,207
178,ENSG00000007306.15,CEACAM7,protein_coding,19
179,ENSG00000007312.13,CD79B,protein_coding,84
180,ENSG00000007314.12,SCN4A,protein_coding,20
181,ENSG00000007341.19,ST7L,protein_coding,353
182,ENSG00000007350.17,TKTL1,protein_coding,14
183,ENSG00000007372.24,PAX6,protein_coding,2
184,ENSG00000007376.8,RPUSD1,protein_coding,1934
185,ENSG00000007384.15,RHBDF1,protein_coding,3412
186,ENSG00000007392.17,LUC7L,protein_coding,3017
187,ENSG00000007402.12,CACNA2D2,protein_coding,814
188,ENSG00000007516.14,BAIAP3,protein_coding,526
189,ENSG00000007520.4,TSR3,protein_coding,2598
190,ENSG00000007541.17,PIGQ,protein_coding,4273
191,ENSG00000007545.16,CRAMP1,protein_coding,1419
192,ENSG00000007866.22,TEAD3,protein_coding,4587
193,ENSG00000007908.16,SELE,protein_coding,223
194,ENSG00000007923.16,DNAJC11,protein_coding,3664
195,ENSG00000007933.13,FMO3,protein_coding,258
196,ENSG00000007944.15,MYLIP,protein_coding,1682
197,ENSG00000007952.18,NOX1,protein_coding,74
198,ENSG00000007968.7,E2F2,protein_coding,1557
199,ENSG00000008018.9,PSMB1,protein_coding,12606
200,ENSG00000008056.14,SYN1,protein_coding,27
201,ENSG00000008083.14,JARID2,protein_coding,3276
202,ENSG00000008086.13,CDKL5,protein_coding,1173
203,ENSG00000008118.10,CAMK1G,protein_coding,40
204,ENSG00000008128.23,CDK11A,protein_coding,81
205,ENSG00000008130.15,NADK,protein_coding,10605
206,ENSG00000008196.13,TFAP2B,protein_coding,9
207,ENSG00000008197.5,TFAP2D,protein_coding,0
208,ENSG00000008226.20,DLEC1,protein_coding,347
209,ENSG00000008256.16,CYTH3,protein_coding,1304
210,ENSG00000008277.14,ADAM22,protein_coding,312
211,ENSG00000008282.9,SYPL1,protein_coding,6194
212,ENSG00000008283.16,CYB561,protein_coding,23225
213,ENSG00000008294.21,SPAG9,protein_coding,7595
214,ENSG00000008300.17,CELSR3,protein_coding,5038
215,ENSG00000008311.15,AASS,protein_coding,990
216,ENSG00000008323.15,PLEKHG6,protein_coding,494
217,ENSG00000008324.12,SS18L2,protein_coding,1215
218,ENSG00000008382.16,MPND,protein_coding,401
219,ENSG00000008394.13,MGST1,protein_coding,46722
220,ENSG00000008405.12,CRY1,protein_coding,1638
221,ENSG00000008438.5,PGLYRP1,protein_coding,3
222,ENSG00000008441.18,NFIX,protein_coding,5271
223,ENSG00000008513.16,ST3GAL1,protein_coding,14904
224,ENSG00000008516.17,MMP25,protein_coding,142
225,ENSG00000008517.18,IL32,protein_coding,5265
226,ENSG00000008710.20,PKD1,protein_coding,3943
227,ENSG00000008735.14,MAPK8IP2,protein_coding,415
228,ENSG00000008838.20,MED24,protein_coding,7433
229,ENSG00000008853.17,RHOBTB2,protein_coding,3448
230,ENSG00000008869.12,HEATR5B,protein_coding,1940
231,ENSG00000008952.17,SEC62,protein_coding,16685
232,ENSG00000008988.11,RPS20,protein_coding,85360
233,ENSG00000009307.16,CSDE1,protein_coding,25804
234,ENSG00000009335.18,UBE3C,protein_coding,8450
235,ENSG00000009413.16,REV3L,protein_coding,793
236,ENSG00000009694.13,TENM1,protein_coding,597
237,ENSG00000009709.12,PAX7,protein_coding,19
238,ENSG00000009724.17,MASP2,protein_coding,32
239,ENSG00000009765.15,IYD,protein_coding,6149
240,ENSG00000009780.16,FAM76A,protein_coding,936
241,ENSG00000009790.15,TRAF3IP3,protein_coding,253
242,ENSG00000009830.12,POMT2,protein_coding,3468
243,ENSG00000009844.16,VTA1,protein_coding,4197
244,ENSG00000009950.16,MLXIPL,protein_coding,66
245,ENSG00000009954.11,BAZ1B,protein_coding,6323
246,ENSG00000010017.13,RANBP9,protein_coding,4082
247,ENSG00000010030.14,ETV7,protein_coding,782
248,ENSG00000010072.16,SPRTN,protein_coding,1052
249,ENSG00000010165.20,EEF1AKNMT,protein_coding,5245
250,ENSG00000010219.13,DYRK4,protein_coding,1001
251,ENSG00000010244.19,ZNF207,protein_coding,11538
252,ENSG00000010256.11,UQCRC1,protein_coding,9972
253,ENSG00000010270.14,STARD3NL,protein_coding,3007
254,ENSG00000010278.15,CD9,protein_coding,22646
255,ENSG00000010282.15,HHATL,protein_coding,8
256,ENSG00000010292.13,NCAPD2,protein_coding,15832
257,ENSG00000010295.20,IFFO1,protein_coding,455
258,ENSG00000010310.9,GIPR,protein_coding,288
259,ENSG00000010318.21,PHF7,protein_coding,123
260,ENSG00000010319.7,SEMA3G,protein_coding,606
261,ENSG00000010322.16,NISCH,protein_coding,6598
262,ENSG00000010327.10,STAB1,protein_coding,2626
263,ENSG00000010361.14,FUZ,protein_coding,773
264,ENSG00000010379.16,SLC6A13,protein_coding,8
265,ENSG00000010404.18,IDS,protein_coding,306
266,ENSG00000010438.17,PRSS3,protein_coding,83
267,ENSG00000010539.12,ZNF200,protein_coding,582
268,ENSG00000010610.10,CD4,protein_coding,3827
269,ENSG00000010626.15,LRRC23,protein_coding,1252
270,ENSG00000010671.16,BTK,protein_coding,431
271,ENSG00000010704.18,HFE,protein_coding,1253
272,ENSG00000010803.16,SCMH1,protein_coding,1695
273,ENSG00000010810.17,FYN,protein_coding,1218
274,ENSG00000010818.10,HIVEP2,protein_coding,2317
275,ENSG00000010932.17,FMO1,protein_coding,31
276,ENSG00000011007.12,ELOA,protein_coding,5938
277,ENSG00000011009.11,LYPLA2,protein_coding,14060
278,ENSG00000011021.23,CLCN6,protein_coding,1695
279,ENSG00000011028.14,MRC2,protein_coding,5252
280,ENSG00000011052.21,NME1-NME2,protein_coding,0
281,ENSG00000011083.9,SLC6A7,protein_coding,5
282,ENSG00000011105.14,TSPAN9,protein_coding,3613
283,ENSG00000011114.15,BTBD7,protein_coding,4051
284,ENSG00000011132.12,APBA3,protein_coding,636
285,ENSG00000011143.19,MKS1,protein_coding,1160
286,ENSG00000011198.10,ABHD5,protein_coding,2260
287,ENSG00000011201.12,ANOS1,protein_coding,866
288,ENSG00000011243.18,AKAP8L,protein_coding,2744
289,ENSG00000011258.16,MBTD1,protein_coding,1939
290,ENSG00000011260.14,UTP18,protein_coding,2491
291,ENSG00000011275.19,RNF216,protein_coding,2859
292,ENSG00000011295.16,TTC19,protein_coding,3015
293,ENSG00000011304.22,PTBP1,protein_coding,23698
294,ENSG00000011332.19,DPF1,protein_coding,22
295,ENSG00000011347.10,SYT7,protein_coding,1062
296,ENSG00000011376.12,LARS2,protein_coding,2919
297,ENSG00000011405.13,PIK3C2A,protein_coding,3435
298,ENSG00000011422.12,PLAUR,protein_coding,6371
299,ENSG00000011426.11,ANLN,protein_coding,2463
300,ENSG00000011451.21,WIZ,protein_coding,6000
301,ENSG00000011454.18,RABGAP1,protein_coding,7162
302,ENSG00000011465.18,DCN,protein_coding,9024
303,ENSG00000011478.13,QPCTL,protein_coding,924
304,ENSG00000011485.15,PPP5C,protein_coding,4625
305,ENSG00000011523.14,CEP68,protein_coding,1751
306,ENSG00000011566.15,MAP4K3,protein_coding,3072
307,ENSG00000011590.14,ZBTB32,protein_coding,48
308,ENSG00000011600.12,TYROBP,protein_coding,3174
309,ENSG00000011638.11,TMEM159,protein_coding,6696
310,ENSG00000011677.13,GABRA3,protein_coding,4
311,ENSG00000012048.23,BRCA1,protein_coding,1189
312,ENSG00000012061.16,ERCC1,protein_coding,2315
313,ENSG00000012124.17,CD22,protein_coding,125
314,ENSG00000012171.20,SEMA3B,protein_coding,2660
315,ENSG00000012174.12,MBTPS2,protein_coding,1885
316,ENSG00000012211.13,PRICKLE3,protein_coding,932
317,ENSG00000012223.13,LTF,protein_coding,3477
318,ENSG00000012232.9,EXTL3,protein_coding,4252
319,ENSG00000012504.15,NR1H4,protein_coding,45
320,ENSG00000012660.14,ELOVL5,protein_coding,9071
321,ENSG00000012779.11,ALOX5,protein_coding,5224
322,ENSG00000012817.16,KDM5D,protein_coding,7215
323,ENSG00000012822.16,CALCOCO1,protein_coding,8688
324,ENSG00000012963.15,UBR7,protein_coding,3518
325,ENSG00000012983.11,MAP4K5,protein_coding,3554
326,ENSG00000013016.16,EHD3,protein_coding,910
327,ENSG00000013275.8,PSMC4,protein_coding,6877
328,ENSG00000013288.9,MAN2B2,protein_coding,7422
329,ENSG00000013293.6,SLC7A14,protein_coding,2
330,ENSG00000013297.12,CLDN11,protein_coding,59
331,ENSG00000013306.16,SLC25A39,protein_coding,9887
332,ENSG00000013364.19,MVP,protein_coding,33427
333,ENSG00000013374.16,NUB1,protein_coding,3814
334,ENSG00000013375.16,PGM3,protein_coding,1961
335,ENSG00000013392.8,RWDD2A,protein_coding,341
336,ENSG00000013441.16,CLK1,protein_coding,5906
337,ENSG00000013503.10,POLR3B,protein_coding,976
338,ENSG00000013523.11,ANGEL1,protein_coding,2583
339,ENSG00000013561.18,RNF14,protein_coding,2676
340,ENSG00000013563.14,DNASE1L1,protein_coding,439
341,ENSG00000013573.17,DDX11,protein_coding,2023
342,ENSG00000013583.10,HEBP1,protein_coding,2963
343,ENSG00000013588.9,GPRC5A,protein_coding,41113
344,ENSG00000013619.14,MAMLD1,protein_coding,253
345,ENSG00000013725.14,CD6,protein_coding,443
346,ENSG00000013810.20,TACC3,protein_coding,4991
347,ENSG00000014123.10,UFL1,protein_coding,2505
348,ENSG00000014138.9,POLA2,protein_coding,248
349,ENSG00000014164.7,ZC3H3,protein_coding,4762
350,ENSG00000014216.16,CAPN1,protein_coding,21264
351,ENSG00000014257.16,ACP3,protein_coding,407
352,ENSG00000014641.21,MDH1,protein_coding,7362
353,ENSG00000014824.14,SLC30A9,protein_coding,6969
354,ENSG00000014914.21,MTMR11,protein_coding,5988
355,ENSG00000014919.13,COX15,protein_coding,2033
356,ENSG00000015133.19,CCDC88C,protein_coding,4300
357,ENSG00000015153.15,YAF2,protein_coding,1077
358,ENSG00000015171.20,ZMYND11,protein_coding,6374
359,ENSG00000015285.11,WAS,protein_coding,628
360,ENSG00000015413.9,DPEP1,protein_coding,168
361,ENSG00000015475.19,BID,protein_coding,4787
362,ENSG00000015479.20,MATR3,protein_coding,182
363,ENSG00000015520.15,NPC1L1,protein_coding,175
364,ENSG00000015532.10,XYLT2,protein_coding,5288
365,ENSG00000015568.13,RGPD5,protein_coding,2
366,ENSG00000015592.16,STMN4,protein_coding,1
367,ENSG00000015676.18,NUDCD3,protein_coding,7753
368,ENSG00000016082.15,ISL1,protein_coding,2
369,ENSG00000016391.11,CHDH,protein_coding,785
370,ENSG00000016402.13,IL20RA,protein_coding,1457
371,ENSG00000016490.16,CLCA1,protein_coding,0
372,ENSG00000016602.9,CLCA4,protein_coding,16
373,ENSG00000016864.18,GLT8D1,protein_coding,3232
374,ENSG00000017260.20,ATP2C1,protein_coding,11733
375,ENSG00000017427.17,IGF1,protein_coding,144
376,ENSG00000017483.15,SLC38A5,protein_coding,370
377,ENSG00000017797.13,RALBP1,protein_coding,7740
378,ENSG00000018189.13,RUFY3,protein_coding,4525
379,ENSG00000018236.15,CNTN1,protein_coding,363
380,ENSG00000018280.17,SLC11A1,protein_coding,1385
381,ENSG00000018408.15,WWTR1,protein_coding,6339
382,ENSG00000018510.17,AGPS,protein_coding,5635
383,ENSG00000018607.7,ZNF806,transcribed_unprocessed_pseudogene,0
384,ENSG00000018610.15,CXorf56,protein_coding,1718
385,ENSG00000018625.15,ATP1A2,protein_coding,87
386,ENSG00000018699.13,TTC27,protein_coding,1323
387,ENSG00000018869.17,ZNF582,protein_coding,30
388,ENSG00000019102.12,VSIG2,protein_coding,553
389,ENSG00000019144.19,PHLDB1,protein_coding,2460
390,ENSG00000019169.10,MARCO,protein_coding,3578
391,ENSG00000019186.10,CYP24A1,protein_coding,209865
392,ENSG00000019485.13,PRDM11,protein_coding,919
393,ENSG00000019505.8,SYT13,protein_coding,3855
394,ENSG00000019549.13,SNAI2,protein_coding,771
395,ENSG00000019582.15,CD74,protein_coding,116210
396,ENSG00000019991.18,HGF,protein_coding,291
397,ENSG00000019995.6,ZRANB1,protein_coding,1250
398,ENSG00000020129.16,NCDN,protein_coding,3095
399,ENSG00000020181.18,ADGRA2,protein_coding,1266
400,ENSG00000020219.9,CCT8L1P,processed_pseudogene,0
401,ENSG00000020256.20,ZFP64,protein_coding,3047
402,ENSG00000020426.11,MNAT1,protein_coding,1273
403,ENSG00000020577.14,SAMD4A,protein_coding,4503
404,ENSG00000020633.19,RUNX3,protein_coding,631
405,ENSG00000020922.13,MRE11,protein_coding,1213
406,ENSG00000021300.14,PLEKHB1,protein_coding,1777
407,ENSG00000021355.13,SERPINB1,protein_coding,13289
408,ENSG00000021461.17,CYP3A43,protein_coding,0
409,ENSG00000021488.13,SLC7A9,protein_coding,51
410,ENSG00000021574.13,SPAST,protein_coding,2248
411,ENSG00000021645.20,NRXN3,protein_coding,148
412,ENSG00000021762.20,OSBPL5,protein_coding,3608
413,ENSG00000021776.11,AQR,protein_coding,3180
414,ENSG00000021826.17,CPS1,protein_coding,565812
415,ENSG00000021852.13,C8B,protein_coding,117
416,ENSG00000022267.19,FHL1,protein_coding,1171
417,ENSG00000022277.13,RTF2,protein_coding,5617
418,ENSG00000022355.18,GABRA1,protein_coding,0
419,ENSG00000022556.16,NLRP2,protein_coding,5667
420,ENSG00000022567.10,SLC45A4,protein_coding,7021
421,ENSG00000022840.16,RNF10,protein_coding,13278
422,ENSG00000022976.15,ZNF839,protein_coding,610
423,ENSG00000023041.11,ZDHHC6,protein_coding,4148
424,ENSG00000023171.18,GRAMD1B,protein_coding,1790
425,ENSG00000023191.17,RNH1,protein_coding,12633
426,ENSG00000023228.14,NDUFS1,protein_coding,9844
427,ENSG00000023287.13,RB1CC1,protein_coding,8967
428,ENSG00000023318.8,ERP44,protein_coding,8131
429,ENSG00000023330.15,ALAS1,protein_coding,4332
430,ENSG00000023445.16,BIRC3,protein_coding,1537
431,ENSG00000023516.9,AKAP11,protein_coding,4582
432,ENSG00000023572.10,GLRX2,protein_coding,1077
433,ENSG00000023608.5,SNAPC1,protein_coding,944
434,ENSG00000023697.13,DERA,protein_coding,3974
435,ENSG00000023734.11,STRAP,protein_coding,16681
436,ENSG00000023839.12,ABCC2,protein_coding,15331
437,ENSG00000023892.11,DEF6,protein_coding,1527
438,ENSG00000023902.14,PLEKHO1,protein_coding,3254
439,ENSG00000023909.10,GCLM,protein_coding,4805
440,ENSG00000024048.11,UBR2,protein_coding,3852
441,ENSG00000024422.12,EHD2,protein_coding,16562
442,ENSG00000024526.17,DEPDC1,protein_coding,830
443,ENSG00000024862.18,CCDC28A,protein_coding,1975
444,ENSG00000025039.15,RRAGD,protein_coding,508
445,ENSG00000025156.13,HSF2,protein_coding,564
446,ENSG00000025293.17,PHF20,protein_coding,5854
447,ENSG00000025423.11,HSD17B6,protein_coding,416
448,ENSG00000025434.19,NR1H3,protein_coding,1800
449,ENSG00000025708.14,TYMP,protein_coding,11187
450,ENSG00000025770.19,NCAPH2,protein_coding,1406
451,ENSG00000025772.8,TOMM34,protein_coding,4877
452,ENSG00000025796.14,SEC63,protein_coding,6594
453,ENSG00000025800.14,KPNA6,protein_coding,13032
454,ENSG00000026025.16,VIM,protein_coding,13308
455,ENSG00000026036.22,RTEL1-TNFRSF6B,protein_coding,150
456,ENSG00000026103.22,FAS,protein_coding,647
457,ENSG00000026297.16,RNASET2,protein_coding,1249
458,ENSG00000026508.20,CD44,protein_coding,10749
459,ENSG00000026559.14,KCNG1,protein_coding,32
460,ENSG00000026652.15,AGPAT4,protein_coding,1039
461,ENSG00000026751.17,SLAMF7,protein_coding,1174
462,ENSG00000026950.17,BTN3A1,protein_coding,2574
463,ENSG00000027001.10,MIPEP,protein_coding,1571
464,ENSG00000027075.15,PRKCH,protein_coding,1679
465,ENSG00000027644.5,INSRR,protein_coding,2
466,ENSG00000027697.15,IFNGR1,protein_coding,7699
467,ENSG00000027847.14,B4GALT7,protein_coding,2680
468,ENSG00000027869.12,SH2D2A,protein_coding,529
469,ENSG00000028116.18,VRK2,protein_coding,944
470,ENSG00000028137.19,TNFRSF1B,protein_coding,3494
471,ENSG00000028203.18,VEZT,protein_coding,14779
472,ENSG00000028277.21,POU2F2,protein_coding,229
473,ENSG00000028310.18,BRD9,protein_coding,4171
474,ENSG00000028528.15,SNX1,protein_coding,6321
475,ENSG00000028839.10,TBPL1,protein_coding,572
476,ENSG00000029153.14,ARNTL2,protein_coding,3214
477,ENSG00000029363.17,BCLAF1,protein_coding,11428
478,ENSG00000029364.12,SLC39A9,protein_coding,11883
479,ENSG00000029534.21,ANK1,protein_coding,120
480,ENSG00000029559.7,IBSP,protein_coding,20
481,ENSG00000029639.11,TFB1M,protein_coding,920
482,ENSG00000029725.17,RABEP1,protein_coding,1248
483,ENSG00000029993.15,HMGB3,protein_coding,48599
484,ENSG00000030066.13,NUP160,protein_coding,3461
485,ENSG00000030110.13,BAK1,protein_coding,2196
486,ENSG00000030304.14,MUSK,protein_coding,6
487,ENSG00000030419.16,IKZF2,protein_coding,2411
488,ENSG00000030582.18,GRN,protein_coding,44287
489,ENSG00000031003.10,FAM13B,protein_coding,915
490,ENSG00000031081.11,ARHGAP31,protein_coding,1247
491,ENSG00000031691.7,CENPQ,protein_coding,451
492,ENSG00000031698.13,SARS1,protein_coding,5204
493,ENSG00000031823.14,RANBP3,protein_coding,6213
494,ENSG00000032219.19,ARID4A,protein_coding,2833
495,ENSG00000032389.13,EIPR1,protein_coding,1721
496,ENSG00000032444.17,PNPLA6,protein_coding,6408
497,ENSG00000032742.18,IFT88,protein_coding,961
498,ENSG00000033011.13,ALG1,protein_coding,1858
499,ENSG00000033030.15,ZCCHC8,protein_coding,2250
500,ENSG00000033050.9,ABCF2,protein_coding,863
501,ENSG00000033100.16,CHPF2,protein_coding,6895
502,ENSG00000033122.21,LRRC7,protein_coding,15
503,ENSG00000033170.17,FUT8,protein_coding,2756
504,ENSG00000033178.13,UBA6,protein_coding,3828
505,ENSG00000033327.13,GAB2,protein_coding,3560
506,ENSG00000033627.17,ATP6V0A1,protein_coding,2963
